start,stop,hours,trackable,task
2008-12-30 12:00:00,2008-12-30 13:00:00,1.0,CS,Premiums
2008-12-31 12:00:00,2008-12-31 15:00:00,3.0,CS,Premiums
2009-01-02 11:00:00,2009-01-02 13:21:16,2.5,CS,Premiums revisions
2009-01-11 13:00:00,2009-01-11 15:57:00,3.0,MMC,Deploying 2.0
2009-01-12 11:00:00,2009-01-12 12:30:00,1.5,CS,Fixing CSS bugs on Premiums
2009-01-12 15:00:00,2009-01-12 16:03:48,1.25,CS,Last minute premiums stuff
2009-01-13 10:30:00,2009-01-13 11:37:16,1.25,CS,Conference call
2009-01-14 07:00:00,2009-01-14 07:53:44,1.0,MMC,Bug fixes
2009-01-14 07:00:00,2009-01-14 07:35:00,0.75,CS,Working with Bernies's code
2009-01-19 16:30:00,2009-01-19 17:30:00,1.0,CS,CSS fixes
2009-01-20 10:00:00,2009-01-20 11:00:00,1.0,CS,Design fixes
2009-01-20 12:30:00,2009-01-20 14:00:00,1.5,CS,Design fixes
2009-01-21 10:15:00,2009-01-21 11:00:00,0.75,CS,Conf call
2009-01-21 11:00:00,2009-01-21 12:00:00,1.0,MMC,Bug fixes #nonbillable
2009-01-21 19:00:00,2009-01-21 22:00:00,3.0,CS,New screens: events
2009-01-22 09:00:00,2009-01-22 09:30:00,0.5,CPS,Call w/ Sal
2009-01-23 07:30:00,2009-01-23 08:20:19,1.0,CPS,Ticket triage #admin
2009-01-28 12:00:00,2009-01-28 12:36:14,0.75,MIM,Final tweaks?
2009-01-28 15:50:00,2009-01-28 16:59:40,1.25,CS,Tooltips
2009-01-30 14:00:00,2009-01-30 15:52:59,2.0,CS,Revise cellar tray
2009-01-30 16:30:00,2009-01-30 17:53:14,1.5,CS,Cellar tray revs
2009-02-02 09:00:00,2009-02-02 09:49:39,1.0,CS,Giant buttons code
2009-02-03 13:55:00,2009-02-03 16:00:00,2.25,CPS,Meeting with Sal at et #meeting #admin
2009-02-04 08:00:00,2009-02-04 10:04:08,2.25,MMC,Fixing image resize bug
2009-02-04 09:55:00,2009-02-04 10:44:58,1.0,4E,Conference call
2009-02-06 09:21:11,2009-02-06 09:21:11,0.0,CS,new screens
2009-02-09 09:15:00,2009-02-09 11:45:00,2.5,CPS,Proposal for MMC 2.5 #admin
2009-02-09 14:30:00,2009-02-09 18:30:00,4.0,CS,Premiums screens
2009-02-10 13:00:00,2009-02-10 16:00:00,3.0,CPS,Meeting with Sal
2009-02-10 16:00:00,2009-02-10 17:10:00,1.25,CS,Premiums screens
2009-02-11 16:00:00,2009-02-11 17:00:00,1.0,MZ,Jamie call
2009-02-13 12:00:00,2009-02-13 15:00:00,3.0,MZ,Researching
2009-02-13 12:20:57,2009-02-13 13:39:05,1.5,T26,Dist reports bug
2009-02-15 17:00:00,2009-02-16 00:00:00,7.0,MZ,"Search results, et al"
2009-02-16 06:00:00,2009-02-16 08:30:00,2.5,MZ,"Search results, et al"
2009-02-16 12:10:54,2009-02-16 16:30:00,4.5,MMC,"Monday ticket triage, pre-meeting prep"
2009-02-17 10:00:00,2009-02-17 11:46:55,2.0,MZ,Gear lists
2009-02-17 12:09:35,2009-02-17 13:45:20,1.75,MMC,File attachment bugs
2009-02-17 15:00:00,2009-02-17 16:07:08,1.25,MZ,Lists brainstorming
2009-02-18 07:00:00,2009-02-18 08:55:39,2.0,T26,Free fonts
2009-02-19 12:00:00,2009-02-19 13:50:30,2.0,MZ,Search results revs
2009-02-23 09:30:00,2009-02-23 10:05:00,0.75,MZ,Jamie call
2009-02-23 11:15:00,2009-02-23 12:00:00,0.75,et,Meeting with Newman re iPhone/Taylormade #bizdev #nonbillable
2009-02-23 12:09:31,2009-02-23 12:42:35,0.75,MMC,Monday ticket triage
2009-02-24 14:00:00,2009-02-23 17:00:00,-21.0,MZ,Search revs
2009-02-25 14:00:00,2009-02-25 18:30:00,4.5,MZ,Search revs
2009-02-26 11:02:49,2009-02-26 14:50:00,4.0,T26,Free fonts
2009-02-27 08:18:14,2009-02-27 11:39:45,3.5,T26,Working on downloadables
2009-03-02 09:57:05,2009-03-02 12:17:52,2.5,MZ,Lists detail
2009-03-03 11:30:00,2009-03-03 17:00:00,5.5,MZ,My Gear
2008-12-05 08:25:23,2008-12-05 09:32:34,1.25,CS,Working on premium wireframes contd
2008-12-05 12:50:24,2008-12-05 14:07:31,1.5,CS,Working on premium wireframes contd
2008-12-12 11:36:29,2008-12-12 11:52:45,0.5,CS,Premiums
2008-12-12 12:16:57,2008-12-12 12:24:19,0.25,CS,Premiums: pushing stuff to server
2008-12-12 14:08:25,2008-12-12 14:41:36,0.75,CS,Premiums: finishing up
2009-01-09 08:28:02,2009-01-09 09:45:30,1.5,T26,Working on royalty stuff
2009-01-09 09:58:08,2009-01-09 13:00:00,3.25,CPS,MMC final bug fixes
2009-01-16 10:49:09,2009-01-16 13:48:39,3.0,CS,Premiums
2009-01-30 13:07:00,2009-01-30 14:20:18,1.25,T26,Login issue
2008-11-28 09:49:42,2008-11-28 10:19:19,0.5,MMC,sending 2.0 changelog to Sal
2008-11-28 11:03:45,2008-11-28 11:51:26,1.0,CS,Sketches for premium vineyards pages
2008-11-28 12:48:37,2008-11-28 14:24:27,1.75,CS,Sketches for premium vineyards contd
2008-10-17 09:48:17,2008-10-17 10:29:38,0.75,CPS,"investigate corp site issue, day 2"
2008-10-17 13:22:13,2008-10-17 13:35:00,0.25,MZ,mocking up some new icons for meeting
2008-10-31 08:11:23,2008-10-31 09:21:26,1.25,PP,Pre-meeting review
2008-10-31 09:22:00,2008-10-31 12:39:17,3.5,PP,DB nonsense \(concurr. with MZ work\)
2008-12-01 07:46:17,2008-12-01 11:43:33,4.0,PP,Monday morning preflight
2008-12-01 11:43:52,2008-12-01 12:05:02,0.5,T26,October sales data
2008-12-01 12:42:58,2008-12-01 13:57:20,1.25,MIM,Oh my god
2008-12-08 10:13:49,2008-12-08 14:55:25,4.75,PP,Troubleshooting some encoding nonsense
2008-12-08 14:55:36,2008-12-08 16:00:00,1.25,CS,Premiums
2008-12-15 09:38:20,2008-12-15 14:40:34,5.25,CS,Premiums
2008-12-22 09:39:31,2008-12-22 10:45:13,1.25,CS,Premiums
2008-12-22 10:45:26,2008-12-22 14:02:00,3.5,MMC,Monday revs
2008-12-22 14:45:42,2008-12-22 15:46:42,1.25,MMC,Notes searching
2009-02-02 07:51:01,2009-02-02 08:29:33,0.75,CPS,Ticket triage
2009-01-05 00:28:23,2009-01-05 01:00:00,0.75,CPS,SWF decompilation fun
2009-01-12 08:38:58,2009-01-12 10:27:04,2.0,MMC,Mystery bugs
2009-01-12 10:27:40,2009-01-12 11:10:04,0.75,T26,Investigating safe deploy
2009-01-19 08:54:08,2009-01-19 12:31:48,3.75,CS,"CSS fixes, premiums revisions"
2009-01-26 11:36:11,2009-01-26 12:31:41,1.0,CS,"Tooltip, submit button"
2009-01-26 12:44:47,2009-01-26 13:17:55,0.75,MIM,Trying to finish revisions
2008-11-03 07:24:03,2008-11-03 09:34:41,2.25,MZ,Monday morning revs
2008-11-03 09:34:49,2008-11-03 10:08:09,0.75,CPS,Meeting prep
2008-11-10 09:49:33,2008-11-10 13:56:45,4.25,MZ,new homepage
2008-11-10 14:08:37,2008-11-10 15:15:04,1.25,CPS,weekly meeting
2008-10-20 07:42:13,2008-10-20 08:20:00,0.75,T26,Wood type sales info export
2008-10-20 12:08:09,2008-10-20 12:20:00,0.25,T26,meeting with sun
2008-10-20 17:15:55,2008-10-20 18:59:20,1.75,MZ,Comp revisions
2008-10-27 10:32:03,2008-10-27 10:49:35,0.5,Scan,Fixing mystery bug
2008-10-27 10:49:43,2008-10-27 12:04:36,1.25,MMC,Post-release support
2008-10-27 11:23:07,2008-10-27 12:04:36,0.75,MMC,emergency rollback
2009-01-31 11:37:43,2009-01-31 12:52:28,1.25,CS,GIANT BUTTONS
2009-01-04 22:06:59,2009-01-05 00:27:02,2.5,CS,Finishing some stuff
2008-11-16 18:17:37,2008-11-16 19:30:00,1.25,CSfb,blank states
2008-11-30 09:26:59,2008-11-30 10:41:14,1.25,PP,Sunday review for Monday launch
2008-11-30 14:39:47,2008-11-30 21:15:10,6.75,PP,Sunday review contd.
2008-10-26 20:03:04,2008-10-26 20:34:28,0.75,MMC,Monday morning revs
2008-10-26 23:11:40,2008-10-26 23:45:00,0.75,MMC,Writing changelog for 2.0 release
2008-12-04 09:38:07,2008-12-04 12:35:51,3.0,CS,Working on premium wireframes
2008-12-04 13:55:03,2008-12-04 16:58:38,3.25,CS,Working on premium wireframes contd
2008-12-11 11:56:27,2008-12-11 16:48:46,5.0,CS,Premiums
2008-12-18 10:59:09,2008-12-18 12:36:48,1.75,CS,Finishing last premiums stuff
2008-12-18 14:28:35,2008-12-18 17:08:36,2.75,MZ,Revs
2009-01-08 14:11:25,2009-01-08 14:42:48,0.75,T26,Working on updated DR exporting
2009-01-15 15:48:44,2009-01-15 17:48:21,2.0,CS,Messing with premiums code
2009-01-15 15:52:02,2009-01-15 17:48:21,2.0,CS,"Messing with premiums code, revisions"
2008-11-06 05:58:29,2008-11-06 06:31:08,0.75,CPS,New corp site
2008-11-13 10:33:54,2008-11-13 11:39:49,1.25,MZ,fixing category page
2008-11-13 11:40:05,2008-11-13 12:18:52,0.75,Scan,fixing gd mf server issue
2008-10-16 10:39:21,2008-10-16 10:53:45,0.25,4e,client call
2008-10-16 10:54:08,2008-10-16 11:05:50,0.25,CPS,troubleshooting mysterious corp site issue
2008-10-16 15:31:01,2008-10-16 16:30:00,1.0,CSfb,index_blank revision
2008-10-23 12:04:29,2008-10-23 12:30:00,0.5,T26,"Conference call w/ Sun, Rod, Carlos"
2008-10-23 16:16:36,2008-10-23 17:08:55,1.0,MZ,meeting w/ copywriter and jamie
2008-10-30 12:26:44,2008-10-30 13:50:47,1.5,PP,bringing it home
2008-10-30 13:51:27,2008-10-30 14:07:42,0.5,MZ,call with Jamie
2008-10-30 14:07:52,2008-10-30 19:20:08,5.25,PP,data integrity fun
2008-12-09 18:45:06,2008-12-09 20:02:04,1.5,CS,Premiums
2008-12-16 14:11:54,2008-12-16 15:05:11,1.0,CPS,meeting
2008-12-23 14:20:11,2008-12-23 15:39:21,1.5,CS,Working on premiums revs over lunch at Nookies
2008-12-23 15:39:31,2008-12-23 16:38:24,1.0,MMC,Group assignment bug
2008-12-23 16:38:33,2008-12-23 16:53:59,0.25,CS,Premiums
2009-01-13 12:49:04,2009-01-13 13:37:58,1.0,t26,Royalties
2009-01-27 08:24:22,2009-01-27 08:39:03,0.25,MMC,Ticket triage
2009-01-27 13:26:43,"",-342523.25,tt,Sprinkle config script for Slicehost slices
2008-11-04 14:02:35,2008-11-04 14:22:49,0.5,Scan,October revisions
2008-11-04 14:22:57,2008-11-04 16:00:00,1.75,CPS,New corp site
2008-11-11 15:10:04,2008-11-11 17:16:15,2.25,PP,CSV importing
2008-11-18 09:31:05,2008-11-18 11:50:42,2.5,CSfb,comp revisions
2008-11-18 13:30:08,2008-11-18 14:57:10,1.5,MIM,2.0 revisions
2008-11-18 15:30:04,2008-11-18 17:00:00,1.5,MIM,2.0 revisions
2008-11-25 12:54:24,2008-11-25 13:12:48,0.5,,Fixing comics page on SPA
2008-10-14 08:33:48,2008-10-14 08:45:00,0.25,MZ,Styling order history pages
2008-10-14 10:33:43,2008-10-14 13:21:15,3.0,MZ,Adding more basic screens
2008-10-21 04:43:52,2008-10-21 05:14:44,0.5,T26,"Extracting wood type sales data, part 2"
2008-10-21 12:58:55,2008-10-21 14:50:00,2.0,PP,shared sessions
2008-12-10 08:11:10,2008-12-10 10:58:09,3.0,CS,Premiums
2008-12-17 11:27:22,2008-12-17 13:10:42,1.75,Scan,November updates
2009-01-14 10:10:14,2009-01-14 14:14:34,4.25,T26,Royalty reporting fun
2009-01-28 09:52:22,2009-01-28 12:07:38,2.25,ET,Form thing for SuperSibs!
2009-01-28 12:36:57,2009-01-28 13:45:00,1.25,MMC,Investigating case 5090
2008-11-05 09:43:03,2008-11-05 10:45:29,1.25,CPS,New corp site layout
2008-11-05 12:26:44,2008-11-05 13:36:12,1.25,CPS,corp site styles
2008-11-05 14:08:00,2008-11-05 14:21:15,0.25,Scan,Oct revisions
2008-11-05 17:06:50,2008-11-05 18:30:00,1.5,CPS,corp site styles
2008-11-12 09:01:22,2008-11-12 11:30:00,2.5,PP,CSV importing fo real
2008-11-12 12:06:30,2008-11-12 15:15:48,3.25,PP,CSV importing contd
2008-11-19 08:38:08,2008-11-19 10:30:00,2.0,MIM,2.0 revs: recaptcha
2008-11-19 12:03:32,2008-11-19 15:51:56,4.0,PP,audit for 2.0
2008-11-26 07:29:33,2008-11-26 08:10:39,0.75,MZ,sending screens to bernie
2008-11-26 08:10:49,2008-11-26 08:26:11,0.25,Scan,Emergency bug fix
2008-11-26 10:56:30,2008-11-26 15:00:00,4.25,PP,Preflight
2008-10-15 10:26:51,2008-10-15 15:36:27,5.25,PP,"Working on public signups, et al"
2008-10-22 08:01:00,2008-10-22 08:36:17,0.75,PP,meeting prep
2008-10-22 08:36:28,2008-10-22 10:45:00,2.25,CPS,meeting prep
2008-10-29 10:50:15,2008-10-29 11:59:30,1.25,MMC,Firefox fixes
